Date,spy_tlt_corr_90d,cpi_yoy,vix,corr_stress,inflation_stress,vix_stress,regime_score,regime_label
2023-03-06,0.30456775939068187,0.05957820738137087,18.610000610351562,True,True,False,2,defensive
2023-03-07,0.27701780963300476,0.05957820738137087,19.59000015258789,True,True,False,2,defensive
2023-03-08,0.28700208532312066,0.05957820738137087,19.110000610351562,True,True,False,2,defensive
2023-03-09,0.2864092552513393,0.05957820738137087,22.610000610351562,True,True,False,2,defensive
2023-03-10,0.2588982483595106,0.05957820738137087,24.799999237060547,True,True,False,2,defensive
2023-03-13,0.25570955647851695,0.05957820738137087,26.520000457763672,True,True,True,3,defensive
2023-03-14,0.2349820754897718,0.05957820738137087,23.729999542236328,True,True,False,2,defensive
2023-03-15,0.2201894363470767,0.05957820738137087,26.139999389648438,True,True,True,3,defensive
2023-03-16,0.2035315504598826,0.05957820738137087,22.989999771118164,True,True,False,2,defensive
2023-03-17,0.2101479758579592,0.05957820738137087,25.510000228881836,True,True,True,3,defensive
2023-03-20,0.21099281199070344,0.05957820738137087,24.149999618530273,True,True,False,2,defensive
2023-03-21,0.19842203456203583,0.05957820738137087,21.3799991607666,False,True,False,1,watch
2023-03-22,0.1870522179723798,0.05957820738137087,22.260000228881836,False,True,False,1,watch
2023-03-23,0.06008894822347693,0.05957820738137087,22.610000610351562,False,True,False,1,watch
2023-03-24,0.06547752352568666,0.05957820738137087,21.739999771118164,False,True,False,1,watch
2023-03-27,0.05872746493216058,0.05957820738137087,20.600000381469727,False,True,False,1,watch
2023-03-28,0.049046549048668536,0.05957820738137087,19.969999313354492,False,True,False,1,watch
2023-03-29,0.05964370553273061,0.05957820738137087,19.1200008392334,False,True,False,1,watch
2023-03-30,0.05852937910025585,0.05957820738137087,19.020000457763672,False,True,False,1,watch
2023-03-31,0.07545496491029974,0.05957820738137087,18.700000762939453,False,True,False,1,watch
2023-04-03,0.07752571098768567,0.04917719362889961,18.549999237060547,False,True,False,1,watch
2023-04-04,0.06271359154346119,0.04917719362889961,19.0,False,True,False,1,watch
2023-04-05,0.05293963801311289,0.04917719362889961,19.079999923706055,False,True,False,1,watch
2023-04-06,0.05327490361426937,0.04917719362889961,18.399999618530273,False,True,False,1,watch
2023-04-10,0.0554031372580836,0.04917719362889961,18.969999313354492,False,True,False,1,watch
2023-04-11,0.053414837021859014,0.04917719362889961,19.100000381469727,False,True,False,1,watch
2023-04-12,0.03911725360193449,0.04917719362889961,19.09000015258789,False,True,False,1,watch
2023-04-13,0.03336094377394611,0.04917719362889961,17.799999237060547,False,True,False,1,watch
2023-04-14,0.0372426345955938,0.04917719362889961,17.06999969482422,False,True,False,1,watch
2023-04-17,0.011731589113402375,0.04917719362889961,16.950000762939453,False,True,False,1,watch
2023-04-18,0.02953561528893122,0.04917719362889961,16.829999923706055,False,True,False,1,watch
2023-04-19,0.03558434022356807,0.04917719362889961,16.459999084472656,False,True,False,1,watch
2023-04-20,0.03211962873627838,0.04917719362889961,17.170000076293945,False,True,False,1,watch
2023-04-21,0.01310824742372647,0.04917719362889961,16.770000457763672,False,True,False,1,watch
2023-04-24,0.009396770277369779,0.04917719362889961,16.889999389648438,False,True,False,1,watch
2023-04-25,-0.019630967300618505,0.04917719362889961,18.760000228881836,False,True,False,1,watch
2023-04-26,-0.01240276677481793,0.04917719362889961,18.84000015258789,False,True,False,1,watch
2023-04-27,-0.020926015570510905,0.04917719362889961,17.030000686645508,False,True,False,1,watch
2023-04-28,-0.022548489582204297,0.04917719362889961,15.779999732971191,False,True,False,1,watch
2023-05-01,-0.031589808983589825,0.049500798791243694,16.079999923706055,False,True,False,1,watch
2023-05-02,-0.05812018437007495,0.049500798791243694,17.780000686645508,False,True,False,1,watch
2023-05-03,-0.06486328893758561,0.049500798791243694,18.34000015258789,False,True,False,1,watch
2023-05-04,-0.0585909314956226,0.049500798791243694,20.09000015258789,False,True,False,1,watch
2023-05-05,-0.05739650462860952,0.049500798791243694,17.190000534057617,False,True,False,1,watch
2023-05-08,-0.06619125054782896,0.049500798791243694,16.979999542236328,False,True,False,1,watch
2023-05-09,-0.0728394392702258,0.049500798791243694,17.709999084472656,False,True,False,1,watch
2023-05-10,-0.0883664663708827,0.049500798791243694,16.940000534057617,False,True,False,1,watch
2023-05-11,-0.09504123831564003,0.049500798791243694,16.93000030517578,False,True,False,1,watch
2023-05-12,-0.08502305567242359,0.049500798791243694,17.030000686645508,False,True,False,1,watch
2023-05-15,-0.09683912130742722,0.049500798791243694,17.1200008392334,False,True,False,1,watch
2023-05-16,-0.0902242165026418,0.049500798791243694,17.989999771118164,False,True,False,1,watch
2023-05-17,-0.13767396034926455,0.049500798791243694,16.8700008392334,False,True,False,1,watch
2023-05-18,-0.14246470419289314,0.049500798791243694,16.049999237060547,False,True,False,1,watch
2023-05-19,-0.13225074797312125,0.049500798791243694,16.809999465942383,False,True,False,1,watch
2023-05-22,-0.15501974521999978,0.049500798791243694,17.209999084472656,False,True,False,1,watch
2023-05-23,-0.1668357525324632,0.049500798791243694,18.530000686645508,False,True,False,1,watch
2023-05-24,-0.16005613393243165,0.049500798791243694,20.030000686645508,False,True,False,1,watch
2023-05-25,-0.16284829282367888,0.049500798791243694,19.139999389648438,False,True,False,1,watch
2023-05-26,-0.11283861758701416,0.049500798791243694,17.950000762939453,False,True,False,1,watch
2023-05-30,-0.11854598028326133,0.049500798791243694,17.459999084472656,False,True,False,1,watch
2023-05-31,-0.096683846731851,0.049500798791243694,17.940000534057617,False,True,False,1,watch
2023-06-01,-0.08730528347904977,0.04131851231385042,15.649999618530273,False,True,False,1,watch
2023-06-02,-0.09996769597103408,0.04131851231385042,14.600000381469727,False,True,False,1,watch
2023-06-05,-0.09936548929951584,0.04131851231385042,14.729999542236328,False,True,False,1,watch
2023-06-06,-0.09406681958944167,0.04131851231385042,13.960000038146973,False,True,False,1,watch
2023-06-07,-0.08613675171568119,0.04131851231385042,13.9399995803833,False,True,False,1,watch
2023-06-08,-0.08426900581941636,0.04131851231385042,13.649999618530273,False,True,False,1,watch
2023-06-09,-0.09864384808759616,0.04131851231385042,13.829999923706055,False,True,False,1,watch
2023-06-12,-0.11022986566331396,0.04131851231385042,15.010000228881836,False,True,False,1,watch
2023-06-13,-0.12016081857302875,0.04131851231385042,14.609999656677246,False,True,False,1,watch
2023-06-14,-0.14036556620274715,0.04131851231385042,13.880000114440918,False,True,False,1,watch
2023-06-15,-0.13193183713534024,0.04131851231385042,14.5,False,True,False,1,watch
2023-06-16,-0.12042834445957112,0.04131851231385042,13.539999961853027,False,True,False,1,watch
2023-06-20,-0.11942673503089493,0.04131851231385042,13.880000114440918,False,True,False,1,watch
2023-06-21,-0.13261358166671774,0.04131851231385042,13.199999809265137,False,True,False,1,watch
2023-06-22,-0.1343940683777289,0.04131851231385042,12.90999984741211,False,True,False,1,watch
2023-06-23,-0.15512609680489853,0.04131851231385042,13.4399995803833,False,True,False,1,watch
2023-06-26,-0.1557691496738276,0.04131851231385042,14.25,False,True,False,1,watch
2023-06-27,-0.15571476451832922,0.04131851231385042,13.739999771118164,False,True,False,1,watch
2023-06-28,-0.18489231840836617,0.04131851231385042,13.430000305175781,False,True,False,1,watch
2023-06-29,-0.18603667421896364,0.04131851231385042,13.539999961853027,False,True,False,1,watch
2023-06-30,-0.22920536583662746,0.04131851231385042,13.59000015258789,False,True,False,1,watch
2023-07-03,-0.22678106669650347,0.03070617072997095,13.569999694824219,False,True,False,1,watch
2023-07-05,-0.22839540206609554,0.03070617072997095,14.180000305175781,False,True,False,1,watch
2023-07-06,-0.23243776551619114,0.03070617072997095,15.4399995803833,False,True,False,1,watch
2023-07-07,-0.22988888139913471,0.03070617072997095,14.829999923706055,False,True,False,1,watch
2023-07-10,-0.2274926993421603,0.03070617072997095,15.069999694824219,False,True,False,1,watch
2023-07-11,-0.23219265216457027,0.03070617072997095,14.84000015258789,False,True,False,1,watch
2023-07-12,-0.21554576715828264,0.03070617072997095,13.539999961853027,False,True,False,1,watch
2023-07-13,-0.2602439044727468,0.03070617072997095,13.609999656677246,False,True,False,1,watch
2023-07-14,-0.2596387999145559,0.03070617072997095,13.34000015258789,False,True,False,1,watch
2023-07-17,-0.2528533503384806,0.03070617072997095,13.479999542236328,False,True,False,1,watch
2023-07-18,-0.2484811719933401,0.03070617072997095,13.300000190734863,False,True,False,1,watch
2023-07-19,-0.24895129630703017,0.03070617072997095,13.760000228881836,False,True,False,1,watch
2023-07-20,-0.17141818550276217,0.03070617072997095,13.989999771118164,False,True,False,1,watch
2023-07-21,-0.17052793588229959,0.03070617072997095,13.600000381469727,False,True,False,1,watch
2023-07-24,-0.14189722465391513,0.03070617072997095,13.90999984741211,False,True,False,1,watch
2023-07-25,-0.12184059233505455,0.03070617072997095,13.859999656677246,False,True,False,1,watch
2023-07-26,-0.10677647910196578,0.03070617072997095,13.1899995803833,False,True,False,1,watch
2023-07-27,-0.04873740538510072,0.03070617072997095,14.40999984741211,False,True,False,1,watch
2023-07-28,-0.031015286152583386,0.03070617072997095,13.329999923706055,False,True,False,1,watch
2023-07-31,-0.01617604646031024,0.03070617072997095,13.630000114440918,False,True,False,1,watch
2023-08-01,0.039303010809427996,0.03287749268428297,13.930000305175781,False,True,False,1,watch
2023-08-02,0.06315257349888556,0.03287749268428297,16.09000015258789,False,True,False,1,watch
2023-08-03,0.0727570448455456,0.03287749268428297,15.920000076293945,False,True,False,1,watch
2023-08-04,0.057017958455957654,0.03287749268428297,17.100000381469727,False,True,False,1,watch
2023-08-07,0.04751619057012511,0.03287749268428297,15.770000457763672,False,True,False,1,watch
2023-08-08,0.039188036996121015,0.03287749268428297,15.989999771118164,False,True,False,1,watch
2023-08-09,0.02781765946496372,0.03287749268428297,15.960000038146973,False,True,False,1,watch
2023-08-10,-0.0030698341174851536,0.03287749268428297,15.850000381469727,False,True,False,1,watch
2023-08-11,-0.0053788774052660705,0.03287749268428297,14.84000015258789,False,True,False,1,watch
2023-08-14,0.0003209262362506575,0.03287749268428297,14.819999694824219,False,True,False,1,watch
2023-08-15,0.0171743718858374,0.03287749268428297,16.459999084472656,False,True,False,1,watch
2023-08-16,0.023657686294783625,0.03287749268428297,16.780000686645508,False,True,False,1,watch
2023-08-17,0.028167368044402386,0.03287749268428297,17.889999389648438,False,True,False,1,watch
2023-08-18,0.028194921496471344,0.03287749268428297,17.299999237060547,False,True,False,1,watch
2023-08-21,0.017383085312653986,0.03287749268428297,17.1299991607666,False,True,False,1,watch
2023-08-22,0.025633939169762233,0.03287749268428297,16.969999313354492,False,True,False,1,watch
